Approval?,Project Name,City,State,Project Preview Description,Char Count,Project Description ,Char Count,Key Highlight (Optional),Char Count,Focus Area(s) (Dropdown),Area Type,Population Size (City),Population Data Year,Gini Coefficient,Testimonial,Testimonial Author,Testimonial Author Title/Role,Partner(s) ,Support Type(s),Status,Start Year,End Year,Maturity Level,Cover Image (URL(s)),Project Link (URL),Resources (URL(s)),Latitude,Longitude
Need to reach out; devon@endpovertyinca.org ,End Poverty in California,,California,,0,"EPIC aims to end poverty in California by elevating the voices of people experiencing it, creating and implementing bold policies rooted in their needs, and advancing a state agenda focused on equal opportunity for all. They conduct listening sessions throughout the state to hear the stories and ideas of people living in poverty, and help educate the public and policymakers & provide platforms for people to tell their own stories to help heal feelings of shame and stigma, increase agency, enable political action, and ultimately, change the narrative. EPIC collaborates with partners and lawmakers in order to develop a shared policy agenda focused on poverty elimination and equal opportunity for all.",707,,0,"Economic Mobility & Generational Wealthbuilding, Economic Opportunity",Urban,,,,,,,,,Planned,,,,,,,,
Checking with chloe,Verizon,Houston,Texas,,0,,0,,0,,Urban,2.39 million,2024,0.42,,,,,,Planned,,,,,,,,
Request Pending,Benedum Foundation,Huntington ,West Virginia,,0,"The Claude Worthington Benedum Foundation has served West Virginia and Southwestern Pennsylvania since it was established in 1944 by Michael and Sarah Benedum. Grants are made to support specific initiatives in the areas of Education, Economic Development, Health, and Community Development. In West Virginia, Benedum has partnered with workforce training organization, Coalfield Development to empower the community and rebuild the economy after the decline of coal.",467,,0,"Skills Training, Economic Opportunity, Industry",Rural,"44,942",2024,,"“The people of these communities have suffered economic shock and decline. But they have persistence,” says Jen Giovannitti, president and trustee of the 80-year-old Claude Worthington Benedum Foundation. The Pittsburgh, PA private foundation invests most of its grants in West Virginia’s rural communities, including Coalfield, which Benedum discovered through its West Virginia-based program directors, who scout places and projects with promise.",,,,,Planned,,,,,,,,
Approved - awaiting copy,SOAR,Pikeville,Kentucky,,0,"SOAR’s EKY Runway Program helps Eastern Kentuckians overcome barriers to employment and discover purpose and dignity through meaningful work. By implementing a ""whole human"" approach, the program opens pathways to lasting careers",229,"In its first year of existence, the EKY Runway has reengaged more than 80 individuals previously outside the workforce and navigated them back into employment. This has generated more than $2.5 million in new wages. The program is proving that with, the right supports, disadvantaged populations can return to work, find purpose through meaningful employment, and escape generational poverty.",392,"Skills Training, Economic Opportunity",Rural,"7,366",2024,0.449,,,,Microsoft TechSpark,,Planned,,,,,,,,
HOLD,Blue Meridian/Ballmer,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
No,Cisco,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
No,Best Buy,,,,0,,0,,0,,,,,0.48,,,,,,Planned,,,,,,,,
Holding for next iteration,Steelcase,Grand Rapids,Michigan,,0,,0,,0,,Urban,"200,117",2024,0.44,,,,,,Planned,,,,,,,,
Holding for next iteration,Seattle Foundation,Seattle,Washington,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
Holding for next iteration,McKnight Foundation,Minneapolis-St.Paul,Minnesota,,0,The GroundBreak Coalition is working to build a new financial system for the region that changes how money flows and where it flows. ,133,,0,Economic Opportunity,Urban,"3,700,000",2023,0.44,,,,,,Planned,,,,,,,,
Holding for next iteration,Brookings Institution,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
Holding for next iteration,Detroit Regional Workforce Partnership,Detroit,Michigan,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,42.3297182,83.0424533
Holding for next iteration,Asian American Foundation,Seattle,Washington,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
Holding for next iteration,training for older youth ,,New Mexico,,0,New Mexico consortium that is focused on young people in Northern New Mexico,76,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
